time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010478349642	84.1804	24.5358	1.58473	-0.0987137	0.00547153	radar	6.94911e-308	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6436	23.8656	1.57491	-0.459586	-0.199836	lidar	1.50977	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6436	23.8656	1.57491	-0.459586	-0.199836	radar	6.94911e-308	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9327	23.4911	1.31208	-0.400016	-0.0594123	lidar	0.75051	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	86.9327	23.4911	1.31208	-0.400016	-0.0594123	radar	6.94911e-308	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7932	22.785	2.11358	-0.357054	-0.00880901	lidar	0.948852	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.7932	22.785	2.11358	-0.357054	-0.00880901	radar	6.94911e-308	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5395	22.3011	0.810007	-0.471231	-0.0635875	lidar	2.35433	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.5395	22.3011	0.810007	-0.471231	-0.0635875	radar	6.94911e-308	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5113	21.6912	1.21226	-0.602579	-0.100241	lidar	0.291603	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.5113	21.6912	1.21226	-0.602579	-0.100241	radar	6.94911e-308	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.6987	21.0991	1.38033	-0.489127	0.00292366	lidar	0.331183	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.6987	21.0991	1.38033	-0.489127	0.00292366	radar	6.94911e-308	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.851	20.9176	1.1106	-0.202967	0.142433	lidar	0.747262	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.851	20.9176	1.1106	-0.202967	0.142433	radar	6.94911e-308	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.4897	20.2938	0.737755	-0.545231	-0.10528	lidar	2.40342	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.4897	20.2938	0.737755	-0.545231	-0.10528	radar	6.94911e-308	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.235	19.6022	2.0014	-0.201436	0.118046	lidar	4.31082	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.235	19.6022	2.0014	-0.201436	0.118046	radar	6.94911e-308	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5609	19.6803	0.216539	-0.0173851	0.162024	lidar	4.30216	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5609	19.6803	0.216539	-0.0173851	0.162024	radar	6.94911e-308	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2338	19.3946	0.669155	-0.225427	-0.00398451	lidar	6.22379	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.2338	19.3946	0.669155	-0.225427	-0.00398451	radar	6.94911e-308	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.5148	18.7954	1.54857	-0.708469	-0.210814	lidar	2.0277	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.5148	18.7954	1.54857	-0.708469	-0.210814	radar	6.94911e-308	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2213	18.348	0.800059	-0.766802	-0.148696	lidar	0.837178	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2213	18.348	0.800059	-0.766802	-0.148696	radar	6.94911e-308	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0334	17.3798	1.36777	-0.965191	-0.176178	lidar	0.47026	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0334	17.3798	1.36777	-0.965191	-0.176178	radar	6.94911e-308	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9678	16.9512	0.846716	-0.669549	0.0451035	lidar	1.60407	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	99.9678	16.9512	0.846716	-0.669549	0.0451035	radar	6.94911e-308	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.151	16.4922	1.28605	-0.265954	0.216448	lidar	1.50244	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.151	16.4922	1.28605	-0.265954	0.216448	radar	6.94911e-308	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.385	16.3905	1.30958	0.0363901	0.256683	lidar	0.0445461	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.385	16.3905	1.30958	0.0363901	0.256683	radar	6.94911e-308	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.014	15.4685	0.424551	-0.522336	-0.15094	lidar	6.62907	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	103.014	15.4685	0.424551	-0.522336	-0.15094	radar	6.94911e-308	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.015	15.1606	1.08545	-0.286383	0.0406442	lidar	3.57771	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.015	15.1606	1.08545	-0.286383	0.0406442	radar	6.94911e-308	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.523	14.4766	1.85118	-0.536236	-0.0907419	lidar	1.19429	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.523	14.4766	1.85118	-0.536236	-0.0907419	radar	6.94911e-308	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.835	14.024	1.36769	-0.414063	0.00793587	lidar	0.602002	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.835	14.024	1.36769	-0.414063	0.00793587	radar	6.94911e-308	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.078	13.6434	1.32687	-0.296642	0.0683265	lidar	0.12924	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.078	13.6434	1.32687	-0.296642	0.0683265	radar	6.94911e-308	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.522	13.5429	1.48267	-0.00416213	0.184229	lidar	0.457169	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.522	13.5429	1.48267	-0.00416213	0.184229	radar	6.94911e-308	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.053	12.6776	1.52661	-0.557427	-0.19628	lidar	4.68614	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.053	12.6776	1.52661	-0.557427	-0.19628	radar	6.94911e-308	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.852	12.4175	1.67609	-0.105078	0.153007	lidar	4.07371	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.852	12.4175	1.67609	-0.105078	0.153007	radar	6.94911e-308	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.789	12.5373	2.02614	0.16591	0.212388	lidar	0.276138	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.789	12.5373	2.02614	0.16591	0.212388	radar	6.94911e-308	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.681	12.1626	1.75158	-0.126223	-0.0646689	lidar	2.50215	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.681	12.1626	1.75158	-0.126223	-0.0646689	radar	6.94911e-308	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.93	11.9856	2.37025	-0.0762557	0.00443234	lidar	0.672878	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.93	11.9856	2.37025	-0.0762557	0.00443234	radar	6.94911e-308	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.713	12.2679	1.76643	0.140055	0.124777	lidar	0.919487	120.695	12.2918	120.743	12.3289	2.21139	0.128528
